#
# Defects file
#
# Convert to a fits table using getDefectFits.py;  this is done for you by running scons
#
#CCD x0    y0    width height
0 1 1 1 1
1 1 1 1 1
2 0 1020 1 4174
2 0 1021 1 4174
2 0 1022 1 4174
2 0 1023 1 4174
2 0 1024 1 4174
2 0 1025 1 4174
2 0 1026 1 4174
2 0 3068 1 4174
2 0 3069 1 4174
2 0 3070 1 4174
2 0 3071 1 4174
2 0 3072 1 4174
2 0 3073 1 4174
2 0 3074 1 4174
2 1942 1781 1 1
2 130 2303 1 1
2 131 2303 1 1
2 132 2303 1 1
2 131 2304 1 1
2 132 2304 1 1
2 133 2304 1 1
2 134 2304 1 1
2 135 2304 1 1
2 136 2304 1 1
2 137 2304 1 1
2 132 2305 1 1
2 133 2305 1 1
2 134 2305 1 1
2 135 2305 1 1
2 136 2305 1 1
2 137 2305 1 1
2 138 2305 1 1
2 139 2305 1 1
2 134 2306 1 1
2 135 2306 1 1
2 137 2306 1 1
2 138 2306 1 1
2 139 2306 1 1
2 139 2307 1 1
2 142 2307 1 1
2 143 2307 1 1
2 144 2307 1 1
2 142 2308 1 1
2 143 2308 1 1
2 144 2308 1 1
2 146 2308 1 1
2 147 2308 1 1
2 149 2308 1 1
2 150 2308 1 1
2 144 2309 1 1
2 145 2309 1 1
2 146 2309 1 1
2 968 2886 1 1
2 969 2886 1 1
2 970 2886 1 1
2 971 2886 1 1
2 2761 2504 1 1
2 2761 2505 1 1
2 2763 2505 1 1
2 3500 3039 1 1
2 3501 3039 1 1
2 3502 3039 1 1
2 3504 3039 1 1
2 3500 3041 1 1
2 3505 3041 1 1
2 3500 3042 1 1
2 3501 3043 1 1
3 1 1 1 1
4 1 1 1 1
5 1 1 1 1
6 1 1 1 1
7 1 1 1 1
8 1 1 1 1
9 1 1 1 1
10 1 1 1 1
11 1 1 1 1
# Dead amps
